KO	gene	gene_name	EC_name	pathway	superpathway
K16305	K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase	EC:4.1.2.13 2.2.1.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K16306	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	EC:4.1.2.13 2.2.1.10	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01803	TPI	triosephosphate isomerase (TIM)	EC:5.3.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00134	GAPDH	glyceraldehyde 3-phosphate dehydrogenase	EC:1.2.1.12	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))	EC:1.2.1.59	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00927	PGK	phosphoglycerate kinase	EC:2.7.2.3	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01834	PGAM	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	EC:5.4.2.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K15633	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	EC:5.4.2.12	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K15634	gpmB	probable phosphoglycerate mutase	EC:5.4.2.12	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K15635	apgM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	EC:5.4.2.12	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01689	ENO	enolase	EC:4.2.1.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00873	PK	pyruvate kinase	EC:2.7.1.40	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00163	aceE	pyruvate dehydrogenase E1 component	EC:1.2.4.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00161	PDHA	pyruvate dehydrogenase E1 component alpha subunit	EC:1.2.4.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00162	PDHB	pyruvate dehydrogenase E1 component beta subunit	EC:1.2.4.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00627	DLAT	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	EC:2.3.1.12	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00382	DLD	dihydrolipoamide dehydrogenase	EC:1.8.1.4	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit	EC:1.2.7.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit	EC:1.2.7.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00172	porG	pyruvate ferredoxin oxidoreductase gamma subunit	EC:1.2.7.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit	EC:1.2.7.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K03737	por	pyruvate-ferredoxin/flavodoxin oxidoreductase	EC:1.2.7.1 1.2.7.-	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00174	korA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	EC:1.2.7.3 1.2.7.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00175	korB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	EC:1.2.7.3 1.2.7.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00016	LDH	L-lactate dehydrogenase	EC:1.1.1.27	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01568	PDC	pyruvate decarboxylase	EC:4.1.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00121	frmA	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	EC:1.1.1.284 1.1.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K04072	adhE	acetaldehyde dehydrogenase / alcohol dehydrogenase	EC:1.2.1.10 1.1.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K13953	adhP	alcohol dehydrogenase, propanol-preferring	EC:1.1.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K13954	yiaY	alcohol dehydrogenase	EC:1.1.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00001	E1.1.1.1	alcohol dehydrogenase	EC:1.1.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00002	AKR1A1	alcohol dehydrogenase (NADP+)	EC:1.1.1.2	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K14028	mdh1	methanol dehydrogenase (cytochrome c) subunit 1	EC:1.1.2.7	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00114	exaA	alcohol dehydrogenase (cytochrome c)	EC:1.1.2.8	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K04022	eutG	alcohol dehydrogenase	NA	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K22473	adhA	alcohol dehydrogenase (quinone), dehydrogenase subunit	EC:1.1.5.5	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K22474	adhB	alcohol dehydrogenase (quinone), cytochrome c subunit	EC:1.1.5.5	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00128	ALDH	aldehyde dehydrogenase (NAD+)	EC:1.2.1.3	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00129	E1.2.1.5	aldehyde dehydrogenase (NAD(P)+)	EC:1.2.1.5	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00138	aldB	aldehyde dehydrogenase	EC:1.2.1.-	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01895	ACSS1_2	acetyl-CoA synthetase	EC:6.2.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01905	acdA	acetate---CoA ligase (ADP-forming) subunit alpha	EC:6.2.1.13	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K22224	acdB	acetate---CoA ligase (ADP-forming) subunit beta	EC:6.2.1.13	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01785	galM	aldose 1-epimerase	EC:5.1.3.3	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01085	agp	glucose-1-phosphatase	EC:3.1.3.10	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K20866	yihX	glucose-1-phosphatase	EC:3.1.3.10	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01835	pgm	phosphoglucomutase	EC:5.4.2.2	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K15778	pmm-pgm	phosphomannomutase / phosphoglucomutase	EC:5.4.2.8 5.4.2.2	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00886	ppgK	polyphosphate glucokinase	EC:2.7.1.63	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01792	E5.1.3.15	glucose-6-phosphate 1-epimerase	EC:5.1.3.15	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K03103	MINPP1	multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase	EC:3.1.3.62 3.1.3.80	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K11389	gapor	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)	EC:1.2.7.6	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)	EC:1.2.1.9	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K18978	gapN	glyceraldehyde-3-phosphate dehydrogenase	NAD(P)+	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01596	E4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)	EC:4.1.1.32	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01610	E4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)	EC:4.1.1.49	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01222	E3.2.1.86A	6-phospho-beta-glucosidase	EC:3.2.1.86	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01223	E3.2.1.86B	6-phospho-beta-glucosidase	EC:3.2.1.86	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K02777	crr	sugar PTS system EIIA component	EC:2.7.1.-	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K02779	ptsG	glucose PTS system EIICB or EIICBA component	EC:2.7.1.199	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K02791	malX	maltose/glucose PTS system EIICB component	EC:2.7.1.199 2.7.1.208	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K20118	ptsG	glucose PTS system EIICBA or EIICB component	EC:2.7.1.199	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K02753	ascF	beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component	EC:2.7.1.-	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01647	CS	citrate synthase	EC:2.3.3.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01648	ACLY	ATP citrate (pro-S)-lyase	EC:2.3.3.8	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K15230	aclA	ATP-citrate lyase alpha-subunit	EC:2.3.3.8	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K15231	aclB	ATP-citrate lyase beta-subunit	EC:2.3.3.8	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K05942	E2.3.3.3	citrate (Re)-synthase	EC:2.3.3.3	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01681	ACO	aconitate hydratase	EC:4.2.1.3	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01682	acnB	aconitate hydratase 2 / 2-methylisocitrate dehydratase	EC:4.2.1.3 4.2.1.99	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00031	IDH1	isocitrate dehydrogenase	EC:1.1.1.42	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00030	IDH3	isocitrate dehydrogenase (NAD+)	EC:1.1.1.41	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K17753	HICDH	isocitrate--homoisocitrate dehydrogenase	EC:1.1.1.286	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00164	OGDH	2-oxoglutarate dehydrogenase E1 component	EC:1.2.4.2	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00658	DLST	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	EC:2.3.1.61	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00382	DLD	dihydrolipoamide dehydrogenase	EC:1.8.1.4	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00174	korA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	EC:1.2.7.3 1.2.7.11	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00175	korB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	EC:1.2.7.3 1.2.7.11	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00177	korC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma	EC:1.2.7.3	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00176	korD	2-oxoglutarate ferredoxin oxidoreductase subunit delta	EC:1.2.7.3	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01902	sucD	succinyl-CoA synthetase alpha subunit	EC:6.2.1.5	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01903	sucC	succinyl-CoA synthetase beta subunit	EC:6.2.1.5	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K18118	aarC	succinyl-CoA:acetate CoA-transferase	EC:2.8.3.18	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00239	sdhA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit	EC:1.3.5.1 1.3.5.4	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00240	sdhB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	EC:1.3.5.1 1.3.5.4	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00241	sdhC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	NA	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00242	sdhD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	NA	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00244	frdA	fumarate reductase flavoprotein subunit	EC:1.3.5.4	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00245	frdB	fumarate reductase iron-sulfur subunit	EC:1.3.5.4	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00246	frdC	fumarate reductase subunit C	NA	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00247	frdD	fumarate reductase subunit D	NA	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01676	E4.2.1.2A	fumarate hydratase, class I	EC:4.2.1.2	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01677	E4.2.1.2AA	fumarate hydratase subunit alpha	EC:4.2.1.2	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01678	E4.2.1.2AB	fumarate hydratase subunit beta	EC:4.2.1.2	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01679	E4.2.1.2B	fumarate hydratase, class II	EC:4.2.1.2	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00024	mdh	malate dehydrogenase	EC:1.1.1.37	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00116	mqo	malate dehydrogenase (quinone)	EC:1.1.5.4	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01958	PC	pyruvate carboxylase	EC:6.4.1.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01959	pycA	pyruvate carboxylase subunit A	EC:6.4.1.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01960	pycB	pyruvate carboxylase subunit B	EC:6.4.1.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01610	E4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)	EC:4.1.1.49	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01596	E4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)	EC:4.1.1.32	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00163	aceE	pyruvate dehydrogenase E1 component	EC:1.2.4.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00161	PDHA	pyruvate dehydrogenase E1 component alpha subunit	EC:1.2.4.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00162	PDHB	pyruvate dehydrogenase E1 component beta subunit	EC:1.2.4.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00627	DLAT	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	EC:2.3.1.12	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit	EC:1.2.7.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit	EC:1.2.7.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00172	porG	pyruvate ferredoxin oxidoreductase gamma subunit	EC:1.2.7.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit	EC:1.2.7.1	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K03737	por	pyruvate-ferredoxin/flavodoxin oxidoreductase	EC:1.2.7.1 1.2.7.-	Citrate cycle (TCA cycle)	Carbohydrate metabolism
K01810	GPI	glucose-6-phosphate isomerase	EC:5.3.1.9	Pentose phosphate pathway	Carbohydrate metabolism
K06859	pgi1	glucose-6-phosphate isomerase, archaeal	EC:5.3.1.9	Pentose phosphate pathway	Carbohydrate metabolism
K13810	tal-pgi	transaldolase / glucose-6-phosphate isomerase	EC:2.2.1.2 5.3.1.9	Pentose phosphate pathway	Carbohydrate metabolism
K15916	pgi-pmi	glucose/mannose-6-phosphate isomerase	EC:5.3.1.9 5.3.1.8	Pentose phosphate pathway	Carbohydrate metabolism
K00036	G6PD	glucose-6-phosphate 1-dehydrogenase	EC:1.1.1.49 1.1.1.363	Pentose phosphate pathway	Carbohydrate metabolism
K19243	azf	NAD+ dependent glucose-6-phosphate dehydrogenase	EC:1.1.1.388	Pentose phosphate pathway	Carbohydrate metabolism
K01057	PGLS	6-phosphogluconolactonase	EC:3.1.1.31	Pentose phosphate pathway	Carbohydrate metabolism
K07404	pgl	6-phosphogluconolactonase	EC:3.1.1.31	Pentose phosphate pathway	Carbohydrate metabolism
K00033	PGD	6-phosphogluconate dehydrogenase	EC:1.1.1.44 1.1.1.343	Pentose phosphate pathway	Carbohydrate metabolism
K01783	rpe	ribulose-phosphate 3-epimerase	EC:5.1.3.1	Pentose phosphate pathway	Carbohydrate metabolism
K00615	E2.2.1.1	transketolase	EC:2.2.1.1	Pentose phosphate pathway	Carbohydrate metabolism
K00616	E2.2.1.2	transaldolase	EC:2.2.1.2	Pentose phosphate pathway	Carbohydrate metabolism
K01807	rpiA	ribose 5-phosphate isomerase A	EC:5.3.1.6	Pentose phosphate pathway	Carbohydrate metabolism
K01808	rpiB	ribose 5-phosphate isomerase B	EC:5.3.1.6	Pentose phosphate pathway	Carbohydrate metabolism
K13812	fae-hps	bifunctional enzyme Fae/Hps	EC:4.2.1.147 4.1.2.43	Pentose phosphate pathway	Carbohydrate metabolism
K08093	hxlA	3-hexulose-6-phosphate synthase	EC:4.1.2.43	Pentose phosphate pathway	Carbohydrate metabolism
K08094	hxlB	6-phospho-3-hexuloisomerase	EC:5.3.1.27	Pentose phosphate pathway	Carbohydrate metabolism
K13831	hps-phi	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase	EC:4.1.2.43 5.3.1.27	Pentose phosphate pathway	Carbohydrate metabolism
K01621	xfp	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	EC:4.1.2.9 4.1.2.22	Pentose phosphate pathway	Carbohydrate metabolism
K01619	deoC	deoxyribose-phosphate aldolase	EC:4.1.2.4	Pentose phosphate pathway	Carbohydrate metabolism
K00852	rbsK	ribokinase	EC:2.7.1.15	Pentose phosphate pathway	Carbohydrate metabolism
K01839	deoB	phosphopentomutase	EC:5.4.2.7	Pentose phosphate pathway	Carbohydrate metabolism
K22199	ppm	phosphopentomutase	EC:5.4.2.7	Pentose phosphate pathway	Carbohydrate metabolism
K01835	pgm	phosphoglucomutase	EC:5.4.2.2	Pentose phosphate pathway	Carbohydrate metabolism
K15778	pmm-pgm	phosphomannomutase / phosphoglucomutase	EC:5.4.2.8 5.4.2.2	Pentose phosphate pathway	Carbohydrate metabolism
K05774	phnN	ribose 1,5-bisphosphokinase	EC:2.7.4.23	Pentose phosphate pathway	Carbohydrate metabolism
K00948	PRPS	ribose-phosphate pyrophosphokinase	EC:2.7.6.1	Pentose phosphate pathway	Carbohydrate metabolism
K01690	edd	phosphogluconate dehydratase	EC:4.2.1.12	Pentose phosphate pathway	Carbohydrate metabolism
K01625	eda	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase	EC:4.1.2.14 4.1.3.42	Pentose phosphate pathway	Carbohydrate metabolism
K17463	dgaF	2-dehydro-3-deoxy-phosphogluconate aldolase	EC:4.1.2.14	Pentose phosphate pathway	Carbohydrate metabolism
K11395	kdpgA	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase	EC:4.1.2.55	Pentose phosphate pathway	Carbohydrate metabolism
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)	EC:1.2.1.9	Pentose phosphate pathway	Carbohydrate metabolism
K18978	gapN	glyceraldehyde-3-phosphate dehydrogenase	NAD(P)+	Pentose phosphate pathway	Carbohydrate metabolism
K00034	gdh	glucose 1-dehydrogenase	EC:1.1.1.47	Pentose phosphate pathway	Carbohydrate metabolism
K22969	gdh	glucose 1-dehydrogenase	EC:1.1.1.47	Pentose phosphate pathway	Carbohydrate metabolism
K18124	gdh2	glucose/galactose 1-dehydrogenase (NADP+)	EC:1.1.1.360	Pentose phosphate pathway	Carbohydrate metabolism
K18125	ssgdh	aldose 1-dehydrogenase	NAD(P)+	Pentose phosphate pathway	Carbohydrate metabolism
K00115	GLD	glucose 1-dehydrogenase (FAD, quinone)	EC:1.1.5.9	Pentose phosphate pathway	Carbohydrate metabolism
K19813	gdh	glucose dehydrogenase	EC:1.1.5.9	Pentose phosphate pathway	Carbohydrate metabolism
K00117	gcd	quinoprotein glucose dehydrogenase	EC:1.1.5.2	Pentose phosphate pathway	Carbohydrate metabolism
K01053	E3.1.1.17	gluconolactonase	EC:3.1.1.17	Pentose phosphate pathway	Carbohydrate metabolism
K06151	E1.1.99.3A	gluconate 2-dehydrogenase alpha chain	EC:1.1.99.3	Pentose phosphate pathway	Carbohydrate metabolism
K06152	E1.1.99.3G	gluconate 2-dehydrogenase gamma chain	EC:1.1.99.3	Pentose phosphate pathway	Carbohydrate metabolism
K00090	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase	EC:1.1.1.79 1.1.1.81 1.1.1.215	Pentose phosphate pathway	Carbohydrate metabolism
K22229	K22229	2-ketogluconate reductase	EC:1.1.1.215	Pentose phosphate pathway	Carbohydrate metabolism
K11441	kguK	dehydrogluconokinase	EC:2.7.1.13	Pentose phosphate pathway	Carbohydrate metabolism
K00032	E1.1.1.43	phosphogluconate 2-dehydrogenase	EC:1.1.1.43	Pentose phosphate pathway	Carbohydrate metabolism
K00851	E2.7.1.12	gluconokinase	EC:2.7.1.12	Pentose phosphate pathway	Carbohydrate metabolism
K05308	gnaD	gluconate/galactonate dehydratase	EC:4.2.1.140	Pentose phosphate pathway	Carbohydrate metabolism
K00874	kdgK	2-dehydro-3-deoxygluconokinase	EC:2.7.1.45	Pentose phosphate pathway	Carbohydrate metabolism
K18126	sskdgK	2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase	EC:2.7.1.178	Pentose phosphate pathway	Carbohydrate metabolism
K18127	kdgA	2-dehydro-3-deoxy-D-gluconate aldolase	EC:4.1.2.51	Pentose phosphate pathway	Carbohydrate metabolism
K03738	aor	aldehyde:ferredoxin oxidoreductase	EC:1.2.7.5	Pentose phosphate pathway	Carbohydrate metabolism
K18020	cutA	glyceraldehyde dehydrogenase large subunit	EC:1.2.99.8	Pentose phosphate pathway	Carbohydrate metabolism
K18021	cutB	glyceraldehyde dehydrogenase medium subunit	EC:1.2.99.8	Pentose phosphate pathway	Carbohydrate metabolism
K18022	cutC	glyceraldehyde dehydrogenase small subunit	EC:1.2.99.8	Pentose phosphate pathway	Carbohydrate metabolism
K18128	gadh	D-glyceraldehyde dehydrogenase (NADP+)	EC:1.2.1.89	Pentose phosphate pathway	Carbohydrate metabolism
K11529	gck	glycerate 2-kinase	EC:2.7.1.165	Pentose phosphate pathway	Carbohydrate metabolism
K22345	E4.3.1.9	glucosaminate ammonia-lyase	EC:4.3.1.9	Pentose phosphate pathway	Carbohydrate metabolism
K17464	dgaA	D-glucosaminate PTS system EIIA component	EC:2.7.1.203	Pentose phosphate pathway	Carbohydrate metabolism
K17465	dgaB	D-glucosaminate PTS system EIIB component	EC:2.7.1.203	Pentose phosphate pathway	Carbohydrate metabolism
K17466	dgaC	D-glucosaminate PTS system EIIC component	NA	Pentose phosphate pathway	Carbohydrate metabolism
K17467	dgaD	D-glucosaminate PTS system EIID component	NA	Pentose phosphate pathway	Carbohydrate metabolism
K17468	dgaE	D-glucosaminate-6-phosphate ammonia-lyase	EC:4.3.1.29	Pentose phosphate pathway	Carbohydrate metabolism
K01623	ALDO	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Pentose phosphate pathway	Carbohydrate metabolism
K11645	fbaB	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Pentose phosphate pathway	Carbohydrate metabolism
K01624	FBA	fructose-bisphosphate aldolase, class II	EC:4.1.2.13	Pentose phosphate pathway	Carbohydrate metabolism
K16305	K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase	EC:4.1.2.13 2.2.1.11	Pentose phosphate pathway	Carbohydrate metabolism
K16306	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	EC:4.1.2.13 2.2.1.10	Pentose phosphate pathway	Carbohydrate metabolism
K03841	FBP	fructose-1,6-bisphosphatase I	EC:3.1.3.11	Pentose phosphate pathway	Carbohydrate metabolism
K02446	glpX	fructose-1,6-bisphosphatase II	EC:3.1.3.11	Pentose phosphate pathway	Carbohydrate metabolism
K11532	glpX-SEBP	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Pentose phosphate pathway	Carbohydrate metabolism
K01086	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Pentose phosphate pathway	Carbohydrate metabolism
